important,重要な，大事な
taste,味/な味がする
lose face,面子を失う，恥をかく
answer for,責任を負う，引き受ける
establish,を設立する，創設する
on the contrary,その反対で，それどころか
receive,を受理する，受け取る
effect,効果，影響，結果
umbrella,傘
handle,を手で扱う，に対処する/取っ手
furniture,家具
skin,皮，皮の
medicine,薬
concept,概念，観念
to some extent,いくらか，ある程度
cause,原因/の原因となる
celebrate,祝う，祝福する
surface,表面，水面
sufficient,十分な，足りている
be affected by,の影響を受ける
in touch,連絡中，連絡が取れて
melt,溶ける，を溶かす
in advance,前もって，事前に
punish,を罰する，懲らしめる
assignment,割り当て
suffer,を患う，苦しむ
work out,練習する，運動する
despite,にも関わらず
luckily,幸いなことに，幸運にも
apology,謝罪，陳謝
destination,目的地，行き先
candidate,候補者，志願者
at last,ついに，やっと
offensive,攻撃的な，無礼な
celebration,お祝い，祝典
whisper,ささやく，を耳打ちする
from time to time,時々，時折
compromise,妥協，和解
delete,を削除する，消す
enormous,非常に大きい
directly,直接，直接的に
appropriate,適当な，充当する
breath,息，呼吸
neighbor,隣人
mention,言及する
while,～の間に、だけれども
especially,特に
guess,推測する
suddenly,突然に
gain,得る
several,幾つかの
immune,免疫の，免疫のある
disorder,無秩序，混乱
mental,精神の，心の
intend to,するつもりである，する意図がある
at present,現在は
make a difference,違いを生む
opportunity,機会，好機
on purpose,故意に，わざと
exceptionally,例外的に，非常に
almost,ほとんど，たいてい
characteristic,特有の，独特の
similar to,に似ている
as to,に関して
civilization,文明
represent,を表す，を代表する
collapse,崩壊する，つぶれる
insult,を侮辱する
mixture,混合物
isolated,孤立した，隔離された
punctual,規則正しい，時間通りの
responsible,責任がある，責任が伴う
frightened,恐ろしかった
guarantee,を保証する/保証
blame,を非難する
anniversary,～周年，記念日
violate,違反する
delay,を遅らせる，先延ばしにする
surround,を取り囲む，を包囲する
immigrate,移住する
correct,正確な/を訂正する
landscape,風景，眺め
instinct,直感，本能，勘
policy,政策，方針
obviously,明らかに，明白に
strangely,不思議なことに，奇妙に
chase,を追跡する，追いかける/追跡
pour,を注ぐ，激しく降る
at one time,一度に
all the way,はるばる，わざわざ
show up,現れる
pull away,引き離す
try out,を試す，十分に試してみる
break into,に押し入る
call it a day,終了する，仕事(など)を切り上げる
be awake,目を覚ましている
issue,問題，（雑誌などの）号
elderly,年配の
brightness,輝度，明るさ
have an effect on,に影響を及ぼす
indoor,屋内の，室内
senior,ポストが上の，上級の/年上の人
natural,当然の，自然の
be adjusted to,に調整する
specific,具体的な，特定の
heart rate,心拍数
be beneficial to,に有益である
what is called,いわゆる
symmetry,対称，左右対称
each other,お互い
advantage,有利，利点
knee,膝
check for,を調べる
after all,結局
over time,超過勤務，延長時間
What is more,さらに，その上
for some time,しばらくの間
at a time,１度に
parking lot,駐車場
all around the world,世界中の
copyright,著作権
charge,非難，料金，管理/に請求する
director,監督，指導者，役員
in reality,実際に，現実に
actually,実際に，現実に
compose,を構成する，作曲する
greet,を出迎える，に挨拶する
depend on,に頼る
claim to do,することを主張する
agree with,に賛成である
it is common to hear,を聞くのが一般的です
temple,お寺，寺院
heritage,遺産
abroad,外国で，外国へ
population,人口，国民
bring,持って来る，連れてくる
environmental,環境の
throw away,廃棄する，捨てる
garbage,生ゴミ，くず
come up with,を思いつく，を考え出す
environmentally,環境的に
council,議会，会議
carry out,を成し遂げる
fuel,燃料
process,過程/を加工処理する
up to,～まで
turn into,に変わる
cut down on,を切り詰める，節約する
fossil fuel,化石燃料
ban,を禁止する/禁止
anxious,心配して，不安な
treat,を扱う，待遇する
deadline,締め切り，期限
be filled with,で満たされている
exception,例外，特例
various,様々な，色々な
concentrate on,に集中する
restrict,を制限する，を限定する
hundreds of,何百もの
arrogant,傲慢な，横柄な
orbit,軌道，領域
angle,角度，方向
equal,同等，等しい
overtake,追い越す
look forward to,～を楽しみにする
democracy,民主主義
district,地域，地区
accomplish,を成し遂げる，完成する
aspect,局面，側面，表情
on schedule,予定通りに
drop off,落ちる，落とす
in the long run,長い目で見れば，長期間に
detective,探偵，刑事
plastic bag,ビニール袋
emotionally,感情的に
in practice,実際には
due to,が原因で
purpose,目的，目標
harm,害/を害する
take over,を引き継ぐ
arrangement,配置，配列
publisher,出版社
ancient,古代の，大昔の
ruin,を台無しにする，破滅する/破滅，荒廃
at most,多くとも，せいぜい
harvest,収穫/を収穫する
competitor,競合他社，競争相手
stock,株，在庫/を在庫に持つ
identify,を見分ける
explorer,冒険者，探検家
unbelievable,信じられない
solve,を解決する
leave out,除外する、取り除く
far off,はるかかなたの
instruction,指示，指導
temporarily,一時的に，仮に
content,中身，内容，目次
distant,遠く離れた
leftover,残り物，食べ残し
well off,裕福な
habit,くせ，習慣
withdraw,を撤回する，引き下がる，引き出す
launch,発売する，船をおろす
innocent,罪のない，無罪の
satellite,衛星
vague,漠然とした，あいまいな
assistance,支援，手伝い
planet,惑星
prescription,処方，処方箋
efficiency,効率，能率
collaboration,共同，共作，協力
evaluate,評価する，見積もる
literature,文学
dig,を掘る
remind of,を思い出させる
once,かつて，1度
modify,を変更する，を修正する
roll,転がる
be concerned with,に関係している
defend,を守る，保護する
harbor,港，入り江
because of,が理由で
temper,気性，かんしゃく
muscle,筋肉
childhood,子供時代
laugh at,を見て笑う
victim,犠牲者
visible,目に見える
stir,をかき混ぜる
overlap,重ねる
conflict,対立，争い
look into,を調べる
unless,でない限り
fund,基金，資金
in fact,実際には
provide A with B,AにBを提供する
fairly,かなり，公平に
prayer,祈り，礼拝
the other,もう一方の
do well,うまくやる
drop by,ちょっと立ち寄る
frequently,頻繁に
generously,惜しみなく，気前よく
embrace,を抱きしめる，を抱擁する
sustainable,存続可能な
spectator,観客，見物人
payment,支払い
introduce,紹介する
wrap,を包む，巻きつける
legend,伝説，言い伝え
prospect,見込み，眺め
refuse,を拒否する，拒む
straight on,まっすぐに
postpone,を延期する
transport,を輸送する
at first,最初は
envy,妬み，羨望
dizzy,めまいがする，ふらふらする
exercise,運動/運動する
amount to,成る，達する
voyage,航海，航行
influence,影響/影響を及ぼす
for free,無料で
vaccine,ワクチン
think over,熟考する，よく考える
abrupt,突然の，不意の
put away,片付ける，整理する
separation,分離
refer to,を参照する，参考にする
capacity,容量
take A for granted,Aを当然のことと思う
average,平均/平均の
publicity,宣伝，周知
ahead,先に、前もって
nervous,神経質な，びくびくして
take part in,に参加する
exaggerate,を誇張する，大げさに言う
popularity,人気，流行
major,専攻科目/主要な
necessary,必要な，大事な
protest,抗議する，主張する
peaceful,平和な
at best,せいぜい，良くとも
century,世紀
burden,負担，重荷
specialize in,に特化する，専門とする
beyond,を越えたところに
temperature,温度，気温
voluntarily,自発的に，自ら進んで
health insurance,健康保険
participant,参加者
unusually,異常に，めったにないほど
consciously,意識的に，故意に
continent,大陸
memory loss,記憶喪失，記憶消失
first of all,まず第一に
in other words,言い換えれば
disappear,消える，見えなくなる
illustrate,を説明する，を例示する
sensitive,敏感な
with luck,運が良ければ
reliable,信頼性のある，あてになる
calm down,落ち着く
permanently,恒久的に，永久に
as though,まるで，あたかも
fulfill,満たす
determine,を決める
what is worse,さらに悪いことには
succeed,成功する
be threatened to,に脅かされる
speaking of,と言えば
jealously,嫉妬深く
social,社会の
explain,を説明する
wait for,を待つ
obstacle,障害
cavity,空洞、虫歯
congratulate on,に対して祝う，祝福する
in trouble,困った状況にある
associated with,と関連した，紐づいた
justify,正当化する
be involved in,に関与する
diet,食事，食事療法
believe in,を信じる
pass out,気絶する
familiar,見慣れた，よく知られた
genetically,遺伝的に
inconvenience,不便，不自由
negative,否定の
encourage,を勇気づける，励ます
reuse,を再利用する，再使用する
doubtfully,疑わしく
be made from,（から）作られる，（を）原料とする
precious,貴重な，大切な
admit,を認める，入ることを許す
industry,産業
tide,潮，潮流
bid,入札/入札する，賭ける
be connected to,に接続する
medical,医学の
stable,安定した
strange,奇妙な，異常な
peacefully,平和的に，穏やかに
checkup,健康診断，照合
approximately,約，おおよそ
react,反応する
be pleased with,を喜ぶ
be known for,で知られている
instead of,の代わりに
be familiar with,に馴染みがある
whistle,口笛を吹く
strike,叩く，打つ
observe,を観察する
vocabulary,単語，語彙
illness,病気
run away,逃げ去る
react to,に反応する，受け止める
rainforest,熱帯雨林
expect,予期する，予想する
distributor,卸売業者
be considered to,と見なされる
in some way,何らかの方法で
progress,進歩，前進
sign,標識，印，合図
fee,料金，手数料
tight,狭い，締まった
persuade,を説得する
gradually,次第に，だんだんに
except for,を除いては
rarely,めったに～ない
large amount of,大量の，たくさんの
in tough,苦労して，厳しい
sculpture,彫刻
warm,暖かい，温暖な
square,四方形，四角形
